Date(UTC),UnixTimeStamp,Price,Transaction Count,Transaction Date,
8/9/2016,1470700800,12.22,46285,2016-08-10 00:00:14 UTC,
8/11/2016,1470873600,11.68,48171,2016-08-11 00:00:07 UTC,
8/12/2016,1470960000,11.78,44400,2016-08-12 00:00:01 UTC,
8/13/2016,1471046400,11.56,41088,2016-08-13 00:00:30 UTC,
8/14/2016,1471132800,11.21,40577,2016-08-14 00:00:04 UTC,
8/15/2016,1471219200,11.21,42302,2016-08-15 00:00:17 UTC,
8/16/2016,1471305600,11.17,48949,2016-08-16 00:00:28 UTC,
8/17/2016,1471392000,10.77,44867,2016-08-17 00:00:02 UTC,
8/18/2016,1471478400,10.77,47799,2016-08-18 00:00:28 UTC,
8/19/2016,1471564800,10.71,42948,2016-08-19 00:00:15 UTC,
8/20/2016,1471651200,11.28,41318,2016-08-20 00:00:16 UTC,
8/21/2016,1471737600,11.14,42543,2016-08-21 00:00:15 UTC,
8/22/2016,1471824000,11.07,44250,2016-08-22 00:00:31 UTC,
8/23/2016,1471910400,11.01,48434,2016-08-23 00:00:03 UTC,
8/24/2016,1471996800,11.01,46817,2016-08-24 00:00:29 UTC,
8/25/2016,1472083200,11.35,49868,2016-08-25 00:00:10 UTC,
8/26/2016,1472169600,11.26,47292,2016-08-26 00:00:08 UTC,
8/27/2016,1472256000,11.19,47938,2016-08-27 00:00:08 UTC,
8/28/2016,1472342400,10.99,42607,2016-08-28 00:00:08 UTC,
8/29/2016,1472428800,10.95,45510,2016-08-29 00:00:12 UTC,
8/30/2016,1472515200,11.21,46979,2016-08-30 00:00:01 UTC,
8/31/2016,1472601600,11.55,45846,2016-08-31 00:00:02 UTC,
9/1/2016,1472688000,12.21,47491,2016-09-01 00:00:07 UTC,
9/2/2016,1472774400,12.08,55413,2016-09-02 00:00:15 UTC,
9/3/2016,1472860800,11.85,44796,2016-09-03 00:00:15 UTC,
9/4/2016,1472947200,11.71,48124,2016-09-04 00:00:07 UTC,
9/5/2016,1473033600,11.75,42667,2016-09-05 00:00:05 UTC,
9/6/2016,1473120000,11.7,49102,2016-09-06 00:00:29 UTC,
9/7/2016,1473206400,11.59,48701,2016-09-07 00:00:19 UTC,
9/8/2016,1473292800,11.39,55970,2016-09-08 00:00:07 UTC,
9/9/2016,1473379200,11.72,53918,2016-09-09 00:00:02 UTC,
9/10/2016,1473465600,12.05,42875,2016-09-10 00:00:12 UTC,
9/11/2016,1473552000,11.64,43345,2016-09-11 00:00:24 UTC,
9/12/2016,1473638400,11.89,45123,2016-09-12 00:00:17 UTC,
9/13/2016,1473724800,11.92,42591,2016-09-13 00:00:36 UTC,
9/14/2016,1473811200,11.97,53859,2016-09-14 00:00:14 UTC,
9/15/2016,1473897600,11.96,52622,2016-09-15 00:00:03 UTC,
9/16/2016,1473984000,12.61,57532,2016-09-16 00:00:06 UTC,
9/17/2016,1474070400,12.83,46882,2016-09-17 00:00:07 UTC,
9/18/2016,1474156800,12.39,37893,2016-09-18 00:00:03 UTC,
9/19/2016,1474243200,12.93,40505,2016-09-19 00:00:09 UTC,
9/20/2016,1474329600,14.72,54067,2016-09-20 00:00:28 UTC,
9/21/2016,1474416000,13.72,44550,2016-09-21 00:00:11 UTC,
9/22/2016,1474502400,13.11,52656,2016-09-22 00:00:03 UTC,
9/23/2016,1474588800,13.36,35219,2016-09-23 00:00:08 UTC,
9/24/2016,1474675200,12.91,43418,2016-09-24 00:00:23 UTC,
9/25/2016,1474761600,13.05,38713,2016-09-25 00:00:06 UTC,
9/26/2016,1474848000,12.89,43514,2016-09-26 00:00:01 UTC,
9/27/2016,1474934400,13.09,46817,2016-09-27 00:00:16 UTC,
9/29/2016,1475107200,13.17,42797,2016-09-28 00:00:29 UTC,
9/28/2016,1475020800,13.3,40416,2016-09-29 00:00:21 UTC,
9/30/2016,1475193600,13.24,35836,2016-09-30 00:00:13 UTC,
10/1/2016,1475280000,13.21,53076,2016-10-01 00:00:01 UTC,
10/2/2016,1475366400,13.23,51105,2016-10-02 00:00:04 UTC,
10/3/2016,1475452800,13.45,47672,2016-10-03 00:00:03 UTC,
10/4/2016,1475539200,13.32,56662,2016-10-04 00:01:05 UTC,
10/5/2016,1475625600,13.09,41719,2016-10-05 00:00:06 UTC,
10/6/2016,1475712000,12.87,36826,2016-10-06 00:00:31 UTC,
10/7/2016,1475798400,12.68,43708,2016-10-07 00:00:10 UTC,
10/8/2016,1475884800,12.24,37690,2016-10-08 00:00:14 UTC,
10/9/2016,1475971200,12.06,43940,2016-10-09 00:00:32 UTC,
10/10/2016,1476057600,11.74,44940,2016-10-10 00:00:12 UTC,
10/11/2016,1476144000,11.75,41063,2016-10-11 00:00:08 UTC,
10/12/2016,1476230400,11.77,30017,2016-10-12 00:00:18 UTC,
10/13/2016,1476316800,12.02,32219,2016-10-13 00:00:57 UTC,
10/14/2016,1476403200,11.9,42006,2016-10-14 00:00:16 UTC,
10/15/2016,1476489600,11.96,33662,2016-10-15 00:00:08 UTC,
10/16/2016,1476576000,11.93,34990,2016-10-16 00:00:11 UTC,
10/17/2016,1476662400,11.98,38136,2016-10-17 00:00:10 UTC,
10/18/2016,1476748800,12.5,51898,2016-10-18 00:00:17 UTC,
10/19/2016,1476835200,11.98,38506,2016-10-19 00:00:03 UTC,
10/20/2016,1476921600,12.05,43429,2016-10-20 00:00:14 UTC,
10/21/2016,1477008000,12.07,57780,2016-10-21 00:00:01 UTC,
10/22/2016,1477094400,12.06,37772,2016-10-22 00:00:01 UTC,
10/23/2016,1477180800,11.95,35364,2016-10-23 00:00:23 UTC,
10/24/2016,1477267200,11.93,52547,2016-10-24 00:00:16 UTC,
10/25/2016,1477353600,11.38,47610,2016-10-25 00:00:05 UTC,
10/26/2016,1477440000,11.5,45158,2016-10-26 00:00:13 UTC,
10/27/2016,1477526400,11.43,44353,2016-10-27 00:00:06 UTC,
10/28/2016,1477612800,11.08,41522,2016-10-28 00:00:48 UTC,
10/29/2016,1477699200,10.39,40011,2016-10-29 00:00:05 UTC,
10/30/2016,1477785600,11.22,39435,2016-10-30 00:00:02 UTC,
10/31/2016,1477872000,10.91,45031,2016-10-31 00:00:08 UTC,
11/1/2016,1477958400,10.75,49025,2016-11-01 00:00:02 UTC,
11/2/2016,1478044800,10.82,43519,2016-11-02 00:00:33 UTC,
11/3/2016,1478131200,10.86,42346,2016-11-03 00:00:05 UTC,
11/4/2016,1478217600,11.13,32572,2016-11-04 00:00:17 UTC,
11/5/2016,1478304000,11.11,37691,2016-11-05 00:00:04 UTC,
11/6/2016,1478390400,10.97,34390,2016-11-06 00:00:04 UTC,
11/7/2016,1478476800,10.9,41941,2016-11-07 00:00:03 UTC,
11/8/2016,1478563200,10.86,41569,2016-11-08 00:00:01 UTC,
11/9/2016,1478649600,10.64,40517,2016-11-09 00:00:01 UTC,
11/10/2016,1478736000,10.52,40167,2016-11-10 00:00:03 UTC,
11/11/2016,1478822400,10.29,41067,2016-11-11 00:00:14 UTC,
11/12/2016,1478908800,9.96,40882,2016-11-12 00:00:20 UTC,
11/13/2016,1478995200,10.13,43673,2016-11-13 00:00:01 UTC,
11/15/2016,1479168000,10.22,43876,2016-11-14 00:01:11 UTC,
11/14/2016,1479081600,10,45330,2016-11-15 00:00:01 UTC,
11/16/2016,1479254400,10.01,41684,2016-11-16 00:00:07 UTC,
11/17/2016,1479340800,9.95,40738,2016-11-17 00:00:05 UTC,
11/18/2016,1479427200,9.53,43785,2016-11-18 00:00:05 UTC,
11/19/2016,1479513600,9.7,39289,2016-11-19 00:00:21 UTC,
11/20/2016,1479600000,9.57,42125,2016-11-20 00:00:27 UTC,
11/21/2016,1479686400,9.56,42735,2016-11-21 00:00:20 UTC,
11/22/2016,1479772800,9.84,53585,2016-11-22 00:00:07 UTC,
11/23/2016,1479859200,9.78,64289,2016-11-23 00:00:02 UTC,
11/24/2016,1479945600,9.22,36861,2016-11-24 00:00:32 UTC,
11/25/2016,1480032000,9.39,58075,2016-11-25 00:00:42 UTC,
11/26/2016,1480118400,9.34,40804,2016-11-26 00:00:08 UTC,
11/27/2016,1480204800,8.91,44449,2016-11-27 00:00:30 UTC,
11/28/2016,1480291200,8.66,48389,2016-11-28 00:00:11 UTC,
11/29/2016,1480377600,8.18,47035,2016-11-29 00:00:09 UTC,
11/30/2016,1480464000,8.59,39178,2016-11-30 00:00:11 UTC,
12/1/2016,1480550400,8.44,37121,2016-12-01 00:00:09 UTC,
12/2/2016,1480636800,7.65,41642,2016-12-02 00:00:10 UTC,
12/3/2016,1480723200,7.9,41357,2016-12-03 00:00:11 UTC,
12/4/2016,1480809600,7.54,39643,2016-12-04 00:00:16 UTC,
12/5/2016,1480896000,6.69,41613,2016-12-05 00:00:15 UTC,
12/6/2016,1480982400,7.61,48200,2016-12-06 00:00:11 UTC,
12/7/2016,1481068800,8.35,41757,2016-12-07 00:00:16 UTC,
12/8/2016,1481155200,8.3,39587,2016-12-08 00:00:33 UTC,
12/9/2016,1481241600,8.52,41444,2016-12-09 00:00:10 UTC,
12/10/2016,1481328000,8.09,40564,2016-12-10 00:00:38 UTC,
12/11/2016,1481414400,8.2,39164,2016-12-11 00:00:02 UTC,
12/12/2016,1481500800,8.45,38741,2016-12-12 00:00:08 UTC,
12/13/2016,1481587200,8.4,44664,2016-12-13 00:00:10 UTC,
12/14/2016,1481673600,8.23,47294,2016-12-14 00:00:14 UTC,
12/15/2016,1481760000,7.76,46102,2016-12-15 00:00:07 UTC,
12/16/2016,1481846400,7.85,43953,2016-12-16 00:00:35 UTC,
12/17/2016,1481932800,7.66,39444,2016-12-17 00:00:30 UTC,
12/18/2016,1482019200,7.89,36638,2016-12-18 00:00:16 UTC,
12/19/2016,1482105600,7.61,45599,2016-12-19 00:00:03 UTC,
12/20/2016,1482192000,7.59,44241,2016-12-20 00:00:24 UTC,
12/21/2016,1482278400,7.87,50793,2016-12-21 00:00:12 UTC,
12/22/2016,1482364800,7.64,55173,2016-12-22 00:00:02 UTC,
12/23/2016,1482451200,7.16,44391,2016-12-23 00:00:16 UTC,
12/24/2016,1482537600,7.23,37757,2016-12-24 00:00:01 UTC,
12/25/2016,1482624000,7.19,36601,2016-12-25 00:00:02 UTC,
12/26/2016,1482710400,7.21,34565,2016-12-26 00:00:09 UTC,
12/27/2016,1482796800,7.15,42370,2016-12-27 00:00:01 UTC,
12/28/2016,1482883200,7.57,43386,2016-12-28 00:00:03 UTC,
12/29/2016,1482969600,8.21,46546,2016-12-29 00:00:12 UTC,
12/30/2016,1483056000,8.16,44561,2016-12-30 00:00:28 UTC,
12/31/2016,1483142400,8.05,41220,2016-12-31 00:00:01 UTC,
1/1/2017,1483228800,8.14,38730,2017-01-01 00:00:03 UTC,
1/2/2017,1483315200,8.33,39652,2017-01-02 00:00:10 UTC,
1/3/2017,1483401600,9.59,45883,2017-01-03 00:00:19 UTC,
1/4/2017,1483488000,10.88,50673,2017-01-04 00:00:05 UTC,
1/5/2017,1483574400,10.2,49596,2017-01-05 00:00:07 UTC,
